date,incidence,hybrid_rt_mean,hybrid_rt_lower,hybrid_rt_upper,source,mcmc_rt_mean,epiestim_rt_mean
2020-03-06,126.0,0.39486324932587985,0.34254404075925865,0.45090878673762763,mcmc,0.39486324932587985,0.6162427875848334
2020-03-07,74.0,0.29505802246568574,0.24055147039082103,0.3558508469535533,mcmc,0.29505802246568574,0.5197045832878912
2020-03-08,41.0,0.2071844627892032,0.15759707932802905,0.2578261229104354,mcmc,0.2071844627892032,0.33991209018231794
2020-03-09,36.0,0.22387016038417035,0.16741769537163206,0.2860998832632631,mcmc,0.22387016038417035,0.301489632276369
2020-03-10,17.0,0.13422708161633057,0.08270596574317264,0.19560908210841696,mcmc,0.13422708161633057,0.2923403745328879
2020-03-11,13.0,0.13086869107277657,0.07993889728819621,0.1950005273945029,mcmc,0.13086869107277657,0.28316192024719933
2020-03-12,8.0,0.11235012049773509,0.05936626216433022,0.18985780034381639,mcmc,0.11235012049773509,0.25092443551445176
2020-03-13,5.0,0.10055564696320907,0.04617363837292508,0.1784670275050699,mcmc,0.10055564696320907,0.19638311297523697
2020-03-14,4.0,0.12571467907768394,0.044197943349069485,0.21598718385435697,mcmc,0.12571467907768394,0.1610950700560148
2020-03-15,4.0,0.17291891053757502,0.07770541471307439,0.2898300777459856,mcmc,0.17291891053757502,0.14644399841968003
2020-03-16,4.0,0.2671054181175577,0.11103248777755992,0.46174873920831994,mcmc,0.2671054181175577,0.12310673988344177
2020-03-17,1.0,0.13862249264258614,0.00775151358493644,0.4791317275413573,mcmc,0.13862249264258614,0.11955954880277801
2020-03-18,1.0,0.26240131531103394,0.10411084032987798,0.5443908862350457,mcmc,0.26240131531103394,0.11748697014280335
2020-03-19,0.0,0.24713795716520542,0.06754769887500033,0.9052392884239366,mcmc,0.24713795716520542,0.1210039326207405
2020-03-20,0.0,0.26399937670197465,0.01832778695662571,0.7834241965783478,mcmc,0.26399937670197465,0.13314054964456085
2020-03-21,0.0,0.3333899078935069,0.06498480485435368,0.9395045018056939,mcmc,0.3333899078935069,0.14507619140245193
2020-03-22,0.0,0.4134892960332736,0.039460936475745355,1.2484707531579982,mcmc,0.4134892960332736,0.14012482461517256
2020-03-23,0.0,0.8822653826541408,0.2106720600990333,2.2260674952583916,mcmc,0.8822653826541408,0.10045997276236457
2020-03-24,1.0,2.574049777904403,0.614931912904206,5.635857198910884,mcmc,2.574049777904403,0.1421812243893887
2020-03-25,0.0,2.198537953965713,0.08673580360795535,7.8845973500126565,mcmc,2.198537953965713,0.15018909317926601
2020-03-26,0.0,4.257105258213962,0.31138845421186745,13.160515862955616,mcmc,4.257105258213962,0.21291449683308006
2020-03-27,0.0,5.1983128197152,0.8733992285886323,20.299854996503402,mcmc,5.1983128197152,0.30307404486861217
2020-03-28,0.0,4.482600747285647,1.3079803924693518,10.242417283368964,mcmc,4.482600747285647,0.42582654727374025
2020-03-29,0.0,3.6589607769665147,0.929867114529477,8.20875147728993,mcmc,3.6589607769665147,0.5741885127123438
2020-03-30,0.0,4.071142818550438,0.17996642408663155,14.865565920315094,mcmc,4.071142818550438,0.7232707640411864
2020-03-31,0.0,4.506327769601933,0.19721821628237632,20.868433559133987,mcmc,4.506327769601933,0.562169667833149
2020-04-01,1.0,38.06278007280974,4.748123385729527,89.48627841877502,mcmc,38.06278007280974,0.9223071399410957
2020-04-02,0.0,23.010100405884938,0.8624332866136544,85.851897140137,mcmc,23.010100405884938,0.9821963999448082
2020-04-03,0.0,9.514514748158403,1.4609382808604257,27.713341436203674,mcmc,9.514514748158403,1.0392566540194583
2020-04-04,1.0,10.514119260064124,1.5662145491264647,28.26838901318092,mcmc,10.514119260064124,1.429524306695376
2020-04-05,0.0,6.419858025410929,1.0123571816794499,18.409978681599735,mcmc,6.419858025410929,1.4266403445961804
2020-04-06,0.0,3.8889172431479895,0.6555327087077845,10.068379585663706,mcmc,3.8889172431479895,1.3737722272661972
2020-04-07,0.0,3.266378985607259,0.35178876085128824,11.786895829725502,mcmc,3.266378985607259,1.278799072905293
2020-04-08,0.0,2.149689455588327,0.15509521475826138,6.815767904569648,mcmc,2.149689455588327,0.8847101313858398
